Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.73214,108.24805,133.000,151.88770
-7.73191,108.24735,133.000,152.05137
-7.73169,108.24665,133.000,152.21756
-7.73147,108.24594,133.000,152.38598
-7.73124,108.24524,119.000,152.55641
-7.73102,108.24453,119.000,152.72853
-7.73080,108.24383,119.000,152.90208
-7.73057,108.24312,119.000,153.07682
-7.73035,108.24242,119.000,153.25233
-7.73013,108.24171,119.000,153.42832
-7.72990,108.24101,108.000,153.60465
-7.72968,108.24030,108.000,153.78085
-7.72945,108.23960,108.000,153.95665
-7.72923,108.23889,108.000,154.13179
-7.72901,108.23819,106.000,154.30598
-7.72878,108.23748,86.000,154.47883
-7.72856,108.23677,86.000,154.65022
-7.72833,108.23607,86.000,154.81974
-7.72811,108.23536,86.000,154.98700
-7.72789,108.23466,86.000,155.15191
-7.72766,108.23395,86.000,155.31401
-7.72744,108.23325,84.000,155.47313
-7.72722,108.23254,84.000,155.62897
-7.72700,108.23184,84.000,155.78133
-7.72677,108.23113,84.000,155.92987
-7.72655,108.23043,84.000,156.07444
-7.72633,108.22972,84.000,156.21469
-7.72611,108.22902,110.000,156.35039
-7.72588,108.22831,110.000,156.48141
-7.72566,108.22761,110.000,156.60748
-7.72543,108.22690,110.000,156.72842
-7.72521,108.22620,110.000,156.84402
-7.72499,108.22550,123.000,156.95414
-7.72477,108.22479,122.000,157.05861
-7.72454,108.22409,122.000,157.15723
-7.72432,108.22338,122.000,157.24978
-7.72410,108.22268,122.000,157.33628
-7.72388,108.22198,122.000,157.41651
-7.72366,108.22127,122.000,157.49039
-7.72343,108.22057,140.000,157.55784
-7.72321,108.21987,140.000,157.61878
-7.72299,108.21916,140.000,157.67306
-7.72277,108.21846,140.000,157.72065
-7.72255,108.21776,140.000,157.76150
-7.72232,108.21705,140.000,157.79559
-7.72210,108.21635,177.000,157.82278
-7.72188,108.21565,177.000,157.84319
-7.72166,108.21495,177.000,157.85680
-7.72143,108.21424,177.000,157.86358
-7.72121,108.21354,177.000,157.86358
-7.72099,108.21284,177.000,157.85685
-7.72076,108.21214,185.000,157.84333
-7.72054,108.21143,185.000,157.82312
-7.72032,108.21073,185.000,157.79623
-7.72009,108.21003,185.000,157.76279
-7.71987,108.20933,185.000,157.72285
-7.71965,108.20863,185.000,157.67655
-7.71942,108.20792,158.000,157.62394
-7.71920,108.20722,158.000,157.56514
-7.71898,108.20652,158.000,157.50022
-7.71876,108.20582,158.000,157.42937
-7.71853,108.20511,158.000,157.35270
-7.71831,108.20441,158.000,157.27039
-7.71809,108.20371,159.000,157.18252
-7.71787,108.20301,159.000,157.08921
-7.71764,108.20231,159.000,156.99066
-7.71742,108.20160,159.000,156.88706
-7.71720,108.20090,159.000,156.77855
-7.71697,108.20020,159.000,156.66535
-7.71675,108.19950,186.000,156.54758
-7.71653,108.19879,175.000,156.42547
-7.71630,108.19809,175.000,156.29921
-7.71608,108.19739,175.000,156.16886
-7.71585,108.19669,175.000,156.03478
-7.71563,108.19598,175.000,155.89699
-7.71541,108.19528,156.000,155.75582
-7.71518,108.19458,156.000,155.61141
-7.71496,108.19388,156.000,155.46403
-7.71474,108.19317,156.000,155.31389
-7.71452,108.19247,156.000,155.16106
-7.71430,108.19177,156.000,155.00582
-7.71407,108.19106,165.000,154.84845
-7.71385,108.19036,165.000,154.68898
-7.71363,108.18966,165.000,154.52780
-7.71341,108.18896,165.000,154.36499
-7.71319,108.18825,165.000,154.20085
-7.71297,108.18755,165.000,154.03554
-7.71274,108.18685,166.000,153.86920
-7.71252,108.18615,166.000,153.70213
-7.71229,108.18545,180.000,153.53446
-7.71207,108.18475,180.000,153.36647
-7.71184,108.18405,180.000,153.19822
-7.71162,108.18334,180.000,153.03003
-7.71140,108.18264,180.000,152.86212
-7.71117,108.18194,180.000,152.69456
-7.71095,108.18124,180.000,152.52767
-7.71072,108.18054,180.000,152.36156
-7.71050,108.17984,180.000,152.19648
-7.71027,108.17914,166.000,152.03251
-7.71005,108.17843,166.000,151.87002
-7.70983,108.17773,166.000,151.70905
-7.70960,108.17703,166.000,151.54976
-7.70938,108.17633,166.000,151.39241
-7.70916,108.17562,166.000,151.23719
-7.70893,108.17492,171.000,151.08422
-7.70871,108.17422,171.000,150.93367
-7.70849,108.17351,171.000,150.78578
-7.70827,108.17281,176.000,150.64070
-7.70805,108.17210,176.000,150.49852
-7.70783,108.17140,176.000,150.35958
-7.70761,108.17069,190.000,150.22382
-7.70739,108.16999,190.000,150.09139
-7.70716,108.16928,190.000,149.96258
-7.70694,108.16858,190.000,149.83757
-7.70671,108.16788,190.000,149.71640
-7.70649,108.16717,190.000,149.59924
-7.70627,108.16647,172.000,149.48626
-7.70604,108.16576,172.000,149.37766
-7.70582,108.16506,172.000,149.27348
-7.70559,108.16435,172.000,149.17392
-7.70537,108.16365,172.000,149.07905
-7.70515,108.16294,172.000,148.98903
-7.70492,108.16223,162.000,148.90401
-7.70470,108.16152,162.000,148.82408
-7.70448,108.16082,162.000,148.74931
-7.70425,108.16011,162.000,148.67990
-7.70403,108.15940,171.000,148.61591
-7.70381,108.15869,171.000,148.55742
-7.70359,108.15798,96.000,148.50463
-7.70336,108.15727,96.000,148.45755
-7.70314,108.15656,96.000,148.41622
-7.70291,108.15585,96.000,148.38080
-7.70268,108.15515,96.000,148.35143
-7.70245,108.15444,96.000,148.32806
-7.70222,108.15373,53.000,148.31075
-7.70200,108.15302,53.000,148.29971
-7.70177,108.15232,53.000,148.29482
-7.70154,108.15161,53.000,148.29621
-7.70131,108.15090,53.000,148.30390
-7.70109,108.15019,53.000,148.31801
-7.70086,108.14948,99.000,148.33848
-7.70064,108.14877,99.000,148.36538
-7.70042,108.14806,99.000,148.39874
-7.70019,108.14735,99.000,148.43855
-7.69997,108.14664,154.000,148.48472
-7.69975,108.14592,154.000,148.53744
-7.69952,108.14521,208.000,148.59656
-7.69930,108.14450,208.000,148.66203
-7.69907,108.14379,208.000,148.73385
-7.69885,108.14308,208.000,148.81205
-7.69862,108.14237,208.000,148.89654
-7.69839,108.14166,229.000,148.98726
-7.69817,108.14095,229.000,149.08417
-7.69794,108.14023,229.000,149.18720
-7.69771,108.13952,229.000,149.29633
-7.69749,108.13881,229.000,149.41148
-7.69726,108.13810,229.000,149.53261
-7.69704,108.13739,215.000,149.65953
-7.69681,108.13667,215.000,149.79213
-7.69658,108.13596,215.000,149.93034
-7.69636,108.13525,215.000,150.07406
-7.69613,108.13454,215.000,150.22324
-7.69591,108.13382,215.000,150.37769
-7.69568,108.13311,225.000,150.53728
-7.69545,108.13240,225.000,150.70184
-7.69522,108.13169,225.000,150.87142
-7.69499,108.13098,225.000,151.04560
-7.69476,108.13027,225.000,151.22436
-7.69453,108.12955,225.000,151.40762
-7.69430,108.12884,238.000,151.59518
-7.69408,108.12813,238.000,151.78684
-7.69385,108.12742,238.000,151.98255
-7.69362,108.12671,238.000,152.18204
-7.69339,108.12600,238.000,152.38516
-7.69317,108.12529,238.000,152.59183
-7.69294,108.12457,246.000,152.80178
-7.69272,108.12386,246.000,153.01482
-7.69249,108.12315,246.000,153.23079
-7.69227,108.12244,246.000,153.44960
-7.69205,108.12173,246.000,153.67111
-7.69182,108.12101,246.000,153.89504
-7.69160,108.12030,256.000,154.12119
-7.69137,108.11959,256.000,154.34946
-7.69115,108.11888,256.000,154.57968
-7.69092,108.11817,256.000,154.81160
-7.69070,108.11746,256.000,155.04507
-7.69047,108.11676,256.000,155.28002
-7.69024,108.11605,264.000,155.51611
-7.69002,108.11534,264.000,155.75331
-7.68979,108.11463,264.000,155.99143
-7.68957,108.11392,264.000,156.23017
-7.68935,108.11322,264.000,156.46954
-7.68912,108.11251,264.000,156.70944
-7.68890,108.11180,240.000,156.94957
-7.68867,108.11109,240.000,157.18972
-7.68845,108.11038,240.000,157.42997
-7.68823,108.10967,240.000,157.66994
-7.68800,108.10897,240.000,157.90962
-7.68778,108.10826,207.000,158.14888
-7.68756,108.10755,207.000,158.38762
-7.68734,108.10684,188.000,158.62560
-7.68711,108.10613,188.000,158.86272
-7.68689,108.10542,188.000,159.09885
-7.68666,108.10471,188.000,159.33396
-7.68644,108.10400,187.000,159.56788
-7.68622,108.10329,187.000,159.80042
-7.68599,108.10258,187.000,160.03165
-7.68577,108.10187,187.000,160.26124
-7.68554,108.10117,187.000,160.48923
-7.68532,108.10046,187.000,160.71548
-7.68509,108.09975,188.000,160.93986
-7.68486,108.09904,188.000,161.16229
-7.68464,108.09834,188.000,161.38280
-7.68441,108.09763,188.000,161.60115
-7.68419,108.09692,188.000,161.81732
-7.68396,108.09622,188.000,162.03118
-7.68374,108.09551,239.000,162.24264
-7.68351,108.09480,239.000,162.45169
-7.68329,108.09410,189.000,162.65822
-7.68306,108.09339,189.000,162.86216
-7.68284,108.09269,189.000,163.06342
-7.68262,108.09198,189.000,163.26194
-7.68240,108.09127,211.000,163.45768
-7.68217,108.09057,211.000,163.65048
-7.68195,108.08986,211.000,163.84025
-7.68173,108.08916,211.000,164.02705
-7.68150,108.08846,211.000,164.21073
-7.68128,108.08775,211.000,164.39120
