Lintang,Bujur,Tinggi_Ort,CBA
-7.26731,105.93937,-2471.357,-51.019693
-6.91055,110.38368,-10,-50.984009
-7.97681,113.18014,705,-50.946827
-6.76797,110.85523,62,-50.848825
-7.36248,113.37246,-51.449,-50.83619
-7.368,110.6673,251,-50.815558
-7.43089,113.20885,-38.484,-50.729298
-7.44658,111.49527,60,-50.529059
-7.66107,113.27906,-28.184,-50.528284
-6.80278,110.41749,-19.144,-50.450709
-7.01278,110.77864,17,-50.404841
-6.78311,110.42363,-19.477,-50.363578
-6.63872,113.59824,-52.046,-50.342376
-7.89638,111.49531,109,-50.193043
-7.66658,112.70779,175,-50.136602
-7.48026,111.91029,92,-50.09604
-7.49953,111.90425,75,-50.066932
-6.98952,113.06173,129,-50.056077
-6.62276,110.19055,-45.834,-50.013215
-7.35697,113.08919,-43.095,-50.006489
-6.63274,110.18745,-46.201,-50.003547
-7.17701,105.82234,-2231.423,-50.000352
-7.48991,111.90728,85,-49.989586
-6.53525,111.06947,1,-49.979968
-7.35701,110.81254,140,-49.79475
-6.90039,110.81375,6,-49.707617
-6.19733,111.03344,-56.227,-49.599571
-7.55741,113.31148,-49.474,-49.531666
-7.59871,113.15632,-19.971,-49.501056
-6.88403,110.63682,7,-49.49448
-7.7117,112.83611,48,-49.469535
-7.41543,113.64195,-42.273,-49.251878
-8.76301,113.82583,-930.72,-49.039543
-7.31174,110.25807,680,-48.921793
-7.13374,111.41841,97,-48.870077
-7.42613,113.63863,-48.803,-48.856438
-7.99337,112.60539,454,-48.835829
-7.57581,111.88039,62,-48.575662
-6.09517,111.06532,-51.789,-48.413168
-6.29405,111.4513,-44.586,-48.408837
-7.64695,112.71392,133,-48.390456
-7.44193,111.92228,271,-48.37653
-7.58533,111.87738,61,-48.29915
-7.43683,113.63527,-52.361,-48.291145
-7.40555,112.26907,39,-48.243224
-7.93692,114.47666,-67.617,-48.223309
-7.50929,112.89934,-7.264,-48.126783
-6.77325,110.42671,-19.384,-48.112783
-7.24508,113.83738,-6.838,-48.029194
-7.02317,110.77538,18,-47.948774
-7.32663,113.09869,-38.115,-47.937441
-7.50682,110.76558,121,-47.924504
-6.20865,111.18307,-53.432,-47.881261
-7.4048,113.64527,-36.823,-47.81969
-7.78415,112.81336,316,-47.792663
-7.86637,111.50467,127,-47.754753
-7.25238,105.65375,-2154,-47.7482
-7.49614,113.47407,-70.457,-47.715344
-7.56627,111.88337,60,-47.631893
-7.4075,111.22247,85,-47.607242
-6.85155,110.40214,-18.426,-47.389263
-7.21982,111.56629,44,-47.373816
-7.43626,111.4985,65,-47.205509
-7.56202,110.88997,101,-47.185288
-7.19906,111.57274,40,-47.005178
-7.44757,113.63189,-57.076,-46.96454
-7.39332,114.6467,-92.844,-46.932205
-7.79487,113.23716,27,-46.91029
-7.39768,111.22556,79,-46.835198
-6.92037,110.3806,-8.643,-46.782644
-7.30269,113.81927,-38.525,-46.76895
-7.51862,111.47267,51,-46.668708
-7.5055,113.32771,-59.656,-46.603209
-7.47064,111.9133,110,-46.557364
-7.40656,112.07567,145,-46.555706
-7.82531,113.22763,42,-46.533325
-6.76338,110.42979,-18.97,-46.432453
-6.80851,109.28006,-10.663,-46.272509
-6.90144,110.69204,6,-46.183232
-7.34149,113.23677,-39.153,-46.126048
-7.50913,111.90123,72,-46.120664
-7.25733,105.94254,-2452.242,-46.113129
-7.87527,114.49597,-199.523,-46.088496
-6.96829,113.06831,112,-46.068282
-7.45834,113.62852,-60.764,-46.052815
-8.06473,113.29609,104,-46.037207
-7.48667,113.47704,-67.693,-46.018457
-7.65369,113.85217,-45.8,-46.010302
-7.43754,112.06604,156,-45.801368
-7.59477,111.8744,59,-45.755639
-7.01726,108.32864,588,-45.623417
-8.61617,112.2671,-642.969,-45.521657
-7.36707,113.08606,-41.116,-45.506252
-7.4691,113.62517,-62.472,-45.463954
-7.39894,110.51494,766,-45.403431
-7.41732,111.21939,105,-45.238238
-7.47722,113.47997,-64.615,-45.231295
-7.39423,113.64855,-29.947,-45.229913
-7.46774,113.48295,-62.48,-45.131616
-7.94685,112.04921,140,-45.05816
-8.61986,112.40863,-808.447,-45.043921
-7.15716,111.58516,31,-44.937355
-7.65068,113.28231,-31.783,-44.926231
-6.37836,110.97695,-12.567,-44.855812
-7.39296,113.36291,-55.195,-44.73547
-7.35233,113.37563,-52.002,-44.699736
-7.43241,111.92527,344,-44.67376
-7.47987,113.6218,-63.1,-44.653278
-7.45592,111.63352,82,-44.450682
-7.45231,114.48568,-106.138,-44.351303
-6.77839,109.28949,-21.833,-44.300458
-6.75752,110.85848,85,-44.205258
-7.46103,111.91632,146,-44.180605
-7.03665,110.34416,189,-44.152561
-7.42707,112.06931,165,-44.104141
-8.20624,111.96721,138,-43.959021
-7.9572,112.04617,141,-43.949308
-7.31027,111.25297,139,-43.837085
-7.32169,113.24295,-42.19,-43.77479
-7.03904,110.3436,153,-43.741873
