Lintang,Bujur,Tinggi_Ort,CBA
-6.22873,106.39675,36.2,71.362744
-6.24417,106.4433,40.5,65.744251
-6.23858,106.48903,39.9,66.585445
-6.23912,106.57771,47.5,66.666705
-6.23788,106.62175,41.7,47.661131
-6.23729,106.66557,38.9,50.315765
-6.23618,106.71338,41.5,53.202704
-6.20497,106.07834,207.3,65.962328
-6.18758,106.12808,123.9,67.955696
-6.18716,106.17533,76.9,64.364528
-6.19468,106.21567,59.7,70.966837
-6.19207,106.25042,53.1,75.253147
-6.19509,106.30728,26.5,71.212068
-6.20187,106.3507,37.3,69.043897
-6.19641,106.39497,33.9,70.449975
-6.19389,106.43968,35.3,71.96232
-6.18996,106.48981,37.5,70.534351
-6.19087,106.52973,41.1,69.616695
-6.18829,106.58016,33.7,53.295182
-6.19507,106.62021,35.1,45.166565
-6.19076,106.66602,31.2,52.151172
-6.18887,106.7144,25.5,55.033206
-6.1482,106.08235,237.9,77.456573
-6.14571,106.12922,77.1,69.713951
-6.14902,106.17072,50.2,63.763746
-6.1543,106.2179,41.5,70.722702
-6.14815,106.2633,32.7,76.30335
-6.14688,106.30898,24.2,69.571248
-6.15227,106.34636,31.7,70.419497
-6.15223,106.39457,26.6,68.592348
-6.14632,106.44178,30.6,72.652428
-6.14114,106.48711,31.2,71.827153
-6.14666,106.52993,31.2,69.969518
-6.15182,106.57318,30,53.643208
-6.14631,106.61879,29.5,50.07991
-6.14659,106.6671,25.1,54.736538
-6.14421,106.71369,21.7,59.323567
-6.10097,106.09227,84.8,81.113355
-6.1,106.1272,47,73.9819
-6.10474,106.1697,34.7,66.992886
-6.09971,106.21716,25.7,67.717017
-6.10179,106.26239,26.2,69.811015
-6.10465,106.31063,28.2,67.027872
-6.10213,106.35297,22,67.560267
-6.10107,106.39503,25.1,69.888943
-6.10321,106.44619,20.6,69.521981
-6.10291,106.48582,23.4,70.732079
-6.10126,106.52363,24.5,68.830758
-6.09419,106.56783,24.8,63.975371
-6.10225,106.61252,23.1,57.972926
-6.10078,106.66746,22.9,58.37535
-6.05829,106.08115,46,81.683876
-6.05976,106.12719,23,75.2415
-6.06115,106.17438,22.3,72.070449
-6.05438,106.20743,20,68.777099
-6.06171,106.26263,19.4,68.854272
-6.06009,106.30987,21.4,71.040118
-6.0656,106.3568,20,71.288172
-6.04782,106.40224,21.5,68.948647
-6.07307,106.44195,19.5,69.308408
-6.064,106.55288,21.6,68.584372
-6.05868,106.58451,20.9,63.612421
-6.05628,106.61656,19.4,61.406039
-6.01375,106.07905,19.9,77.745216
-6.00572,106.30783,18.7,72.276302
-6.00231,106.34489,18.1,70.834855
-6.23417,106.5264,45.6,68.775509
-6.11744,106.15177,42.4,65.056099
-6.731,106.8,483.6,46.672674
