Lintang,Bujur,Tinggi_Ortometrik,CBA
-8.14615,110.99066,353,155.7713444
-8.14548,110.99087,352,155.2436931
-8.1448,110.99109,352,154.6968799
-8.14413,110.9913,352,154.1569969
-8.14345,110.99151,352,153.6067336
-8.14278,110.99172,391,152.8396315
-8.1421,110.99193,391,152.2822485
-8.14142,110.99214,386,151.749836
-8.14075,110.99235,386,151.1931297
-8.14007,110.99257,386,150.6225202
-8.1394,110.99278,386,150.0593033
-8.13872,110.99299,386,149.4854318
-8.13805,110.99321,386,148.9124176
-8.13737,110.99342,375,148.3947791
-8.1367,110.99363,375,147.8187194
-8.13602,110.99385,375,147.2285164
-8.13535,110.99406,375,133.2695492
-8.13467,110.99427,375,132.6762731
-8.134,110.99448,375,132.0875564
-8.13332,110.9947,382,131.4357844
-8.13265,110.99491,382,130.3962666
-8.13197,110.99512,382,129.3341892
-8.13129,110.99533,382,128.2639681
-8.13062,110.99555,382,127.1965282
-8.12994,110.99576,382,126.110084
-8.12926,110.99597,378,125.0383448
-8.12859,110.99619,353,124.0889469
-8.12791,110.9964,353,122.9781853
-8.12723,110.99661,353,121.8594493
-8.12656,110.99682,353,120.748001
-8.12588,110.99703,353,119.6135053
-8.1252,110.99725,353,118.4663716
-8.12452,110.99746,365,117.2483558
-8.12385,110.99767,365,116.1059586
-8.12317,110.99788,365,114.9403675
-8.12249,110.99809,365,113.7670911
-8.12182,110.9983,365,112.601935
-8.12114,110.99851,365,111.4134861
-8.12046,110.99872,367,110.2063635
-8.11979,110.99893,367,109.0188756
-8.11911,110.99915,367,107.8022304
-8.11843,110.99936,367,106.5838325
-8.11776,110.99957,367,105.3743058
-8.11708,110.99978,367,104.1413059
-8.11641,110.99999,376,103.0668728
-8.11573,111.00021,377,102.4731631
-8.11506,111.00042,377,101.8997658
-8.11438,111.00063,377,101.3177714
-8.11371,111.00084,377,100.7446183
-8.11303,111.00105,377,100.1629381
-8.11236,111.00126,380,99.5742714
-8.11168,111.00147,380,98.993179
-8.11101,111.00168,380,98.4212108
-8.11034,111.00189,380,97.8496751
-8.10966,111.0021,380,97.2698047
-8.10899,111.00231,380,96.6992773
-8.10831,111.00252,398,96.0273026
-8.10764,111.00272,398,95.457281
-8.10697,111.00293,398,94.8890524
-8.1063,111.00314,398,94.3215951
-8.10562,111.00335,398,93.7460858
-8.10495,111.00356,398,93.1803384
-8.10428,111.00377,398,92.6155301
-8.10361,111.00398,404,92.0217285
-8.10293,111.00419,406,91.4402741
-8.10226,111.0044,406,90.8788394
-8.10159,111.00461,406,90.3185867
-8.10092,111.00482,406,89.7595639
-8.10025,111.00503,406,89.2018337
-8.09957,111.00524,368,89.1843897
-8.0989,111.00545,368,89.1907534
-8.09823,111.00566,368,89.1938427
-8.09756,111.00587,368,89.1937058
-8.09688,111.00608,368,89.1897536
-8.09621,111.00629,368,89.1833107
-8.09554,111.0065,366,89.1832424
-8.09486,111.00672,366,89.1717018
-8.09419,111.00693,366,89.1561673
-8.09352,111.00714,366,89.1377546
-8.09285,111.00735,366,89.1165239
-8.09218,111.00756,366,89.092521
-8.0915,111.00778,350,89.1394267
-8.09083,111.00799,350,89.1095893
-8.09016,111.0082,350,89.0771549
-8.08949,111.00842,363,88.9854134
-8.08881,111.00863,363,88.9471856
-8.08814,111.00884,363,88.907522
-8.08747,111.00906,284,89.2162442
-8.0868,111.00927,284,89.1699089
-8.08613,111.00948,284,89.121295
-8.08545,111.00969,284,89.0692473
-8.08478,111.00991,284,89.0175568
-8.08411,111.01012,284,88.962368
-8.08344,111.01033,284,88.9051034
-8.08277,111.01054,241,89.2222103
-8.0821,111.01076,241,89.3907609
-8.08142,111.01097,241,89.5588088
-8.08075,111.01118,241,89.7235449
-8.08008,111.01139,241,89.8870942
-8.07941,111.0116,241,78.2731509
-8.07874,111.01181,232,78.4718521
-8.07806,111.01202,232,78.6338892
-8.07739,111.01223,232,78.7928956
-8.07672,111.01244,232,78.950922
-8.07605,111.01265,233,79.1039164
-8.07538,111.01286,233,79.260085
-8.07471,111.01307,267,79.2780457
-8.07404,111.01328,267,79.4330527
-8.07337,111.01349,267,79.5872204
-8.0727,111.01371,267,79.7418295
-8.07203,111.01392,267,79.8943939
-8.07135,111.01413,267,80.048061
-8.07068,111.01434,310,80.029858
-8.07001,111.01455,310,80.1807787
-8.06934,111.01476,310,80.3309889
-8.06867,111.01497,310,80.4804925
-8.068,111.01518,310,80.6293231
-8.06733,111.01539,310,80.7774857
-8.06666,111.0156,402,80.5713759
-8.06599,111.01581,402,80.7762639
-8.06532,111.01602,402,80.981955
-8.06465,111.01623,402,81.1884631
-8.06398,111.01645,402,81.3971759
-8.06331,111.01666,402,81.6053676
-8.06264,111.01687,433,81.7792658
-8.06197,111.01708,515,81.7636661
-8.0613,111.01729,515,82.0571481
-8.06063,111.0175,515,82.3499645
-8.05996,111.01771,515,82.6421113
-8.05929,111.01792,515,82.9335906
-8.05862,111.01813,515,83.2244029
-8.05795,111.01834,521,83.4921185
-8.05728,111.01855,521,83.7815847
-8.05661,111.01876,521,84.0703621
-8.05595,111.01897,521,84.355857
-8.05528,111.01918,521,84.6432312
-8.05461,111.0194,521,84.9353574
-8.05394,111.01961,491,85.3332446
-8.05327,111.01982,491,90.143748
-8.05261,111.02003,491,90.4256532
-8.05194,111.02024,491,90.7093207
-8.05127,111.02045,491,90.9921972
-8.0506,111.02066,491,91.2742581
-8.04993,111.02088,428,91.8150148
-8.04926,111.02109,428,92.2647231
-8.0486,111.0213,428,92.7103935
-8.04793,111.02151,428,93.1619427
-8.04726,111.02172,428,93.6143745
-8.04659,111.02193,428,94.0676512
-8.04592,111.02214,428,94.521749
-8.04525,111.02236,387,95.1382754
-8.04458,111.02257,387,95.5942381
-8.04391,111.02278,387,96.0509367
-8.04325,111.02299,387,96.5033616
-8.04258,111.0232,387,96.9614143
-8.04191,111.02341,387,97.4200801
-8.04124,111.02362,405,97.8099822
-8.04057,111.02383,405,98.2695902
-8.0399,111.02404,405,98.7296782
-8.03922,111.02425,405,99.1951436
-8.03855,111.02446,405,99.6560618
-8.03788,111.02467,405,100.1173261
-8.03721,111.02488,409,100.5632356
-8.03654,111.02509,349,101.2607757
-8.03587,111.02531,349,101.7298435
-8.0352,111.02552,349,102.1927015
-8.03453,111.02573,349,102.6556709
-8.03386,111.02594,349,103.1186898
-8.03318,111.02615,279,103.8883055
-8.03251,111.02636,279,104.4461649
-8.03184,111.02657,279,105.0066016
-8.03117,111.02678,279,105.5695483
-8.0305,111.02699,279,106.134949
-8.02982,111.0272,279,106.7090127
-8.02915,111.02742,300,107.2003064
-8.02848,111.02763,300,107.7725158
-8.02781,111.02784,300,108.3469256
-8.02713,111.02805,300,108.9297549
-8.02646,111.02826,300,109.5083842
-8.02579,111.02847,300,110.0890298
-8.02512,111.02868,300,110.6716184
-8.02445,111.0289,316,111.1969318
-8.02378,111.02911,316,111.7830968
-8.02311,111.02932,379,112.1063715
-8.02244,111.02953,379,112.6951416
-8.02176,111.02974,379,113.2918057
-8.02109,111.02996,379,113.8920007
-8.02042,111.03017,299,114.8260148
-8.01975,111.03038,299,115.4219721
-8.01908,111.03059,299,116.0192664
-8.01841,111.0308,299,116.6178333
-8.01774,111.03101,299,117.2176046
-8.01707,111.03122,299,117.8185159
-8.0164,111.03143,403,117.8143467
-8.01573,111.03164,403,118.0206333
-8.01506,111.03184,403,118.2162921
-8.01439,111.03205,403,118.4189231
-8.01372,111.03226,403,118.6196257
-8.01306,111.03247,403,118.8181833
-8.01239,111.03268,442,118.8453262
-8.01172,111.03288,442,119.030715
-8.01105,111.03309,442,119.22282
-8.01038,111.0333,442,119.412699
-8.00971,111.03351,464,119.3807994
-8.00904,111.03371,464,119.4150242
-8.00837,111.03392,464,119.4464131
-8.00771,111.03413,481,119.3989214
-8.00704,111.03434,481,119.4206015
-8.00637,111.03455,481,119.4373455
-8.0057,111.03476,481,119.449098
-8.00503,111.03497,481,119.4557957
-8.00436,111.03518,481,119.4573934
-8.0037,111.03539,462,119.5376717
-8.00303,111.0356,462,119.528942
-8.00236,111.03581,462,119.5149204
-8.00169,111.03602,462,119.4955561
-8.00102,111.03623,462,119.4707858
-8.00035,111.03644,462,119.4405602
-7.99968,111.03665,457,119.1721626
-7.99901,111.03686,457,118.6002076
-7.99834,111.03708,457,118.0271065
-7.99767,111.03729,457,117.4502655
-7.997,111.0375,468,116.822978
-7.99633,111.03771,468,116.2411326
-7.99567,111.03792,465,115.6788532
-7.995,111.03813,465,115.0917589
-7.99433,111.03834,465,114.5019654
-7.99366,111.03856,465,113.9108398
-7.99299,111.03877,465,113.3155434
-7.99232,111.03898,465,112.7174201
-7.99165,111.03919,483,112.0396483
-7.99098,111.0394,483,111.4360399
-7.99031,111.03961,483,110.8295162
-7.98964,111.03982,483,110.2200519
-7.98897,111.04003,483,109.607598
-7.9883,111.04024,483,108.9921365
-7.98763,111.04045,483,108.3736338
-7.98696,111.04066,481,107.7603385
-7.98629,111.04087,481,107.1356291
-7.98562,111.04108,481,106.5077988
-7.98495,111.04129,481,105.8768248
-7.98428,111.04149,481,105.2411233
-7.98361,111.0417,494,104.5515893
-7.98294,111.04191,406,104.3208978
-7.98227,111.04212,406,103.7713319
-7.9816,111.04233,406,103.2171864
-7.98093,111.04254,406,102.6584523
-7.98027,111.04275,406,102.1040229
-7.9796,111.04296,406,101.5361295
-7.97893,111.04317,284,101.4344299
-7.97826,111.04338,284,100.8529458
-7.97759,111.04359,284,100.2666924
-7.97692,111.0438,284,99.6756795
-7.97625,111.04401,284,99.0798959
-7.97558,111.04422,284,98.4793438
-7.97491,111.04443,272,97.9178447
-7.97424,111.04464,272,97.3072651
-7.97358,111.04485,272,96.7015587
-7.97291,111.04506,272,96.0815304
-7.97224,111.04527,272,127.3977403
-7.97157,111.04548,272,126.7682513
-7.9709,111.04568,272,126.1328785
-7.97023,111.04589,264,125.5206581
-7.96956,111.0461,264,124.876729
-7.96889,111.04631,264,124.2281523
-7.96822,111.04652,264,123.574943
-7.96755,111.04673,264,122.9171307
-7.96688,111.04694,264,122.2547441
-7.96621,111.04716,304,121.8695479
-7.96554,111.04737,304,121.7909567
-7.96487,111.04758,304,121.710673
-7.9642,111.04779,304,121.6287419
-7.96353,111.048,304,121.5452014
-7.96286,111.04821,304,121.4600835
-7.96219,111.04843,224,121.5863167
-7.96152,111.04864,224,121.4931155
-7.96085,111.04885,224,121.3983966
-7.96018,111.04906,224,121.302209
-7.95951,111.04927,224,121.2046038
-7.95884,111.04949,224,121.1069177
-7.95817,111.0497,178,121.1101086
-7.9575,111.04991,178,121.0053551
-7.95683,111.05012,182,120.9384006
-7.95616,111.05033,182,120.9118944
-7.95549,111.05055,182,120.8860854
-7.95482,111.05076,182,120.8505591
-7.95415,111.05097,173,120.8269364
-7.95349,111.05118,173,120.7843141
-7.95282,111.05139,173,120.7352019
-7.95215,111.0516,173,120.6819132
-7.95148,111.05181,173,120.6245203
-7.95081,111.05202,173,120.5630991
-7.95014,111.05223,173,120.497727
-7.94947,111.05244,181,120.6158212
-7.9488,111.05265,181,120.7920671
-7.94813,111.05286,181,120.9635395
-7.94747,111.05307,181,121.1292464
-7.9468,111.05328,181,121.2914662
-7.94613,111.05349,181,121.449165
-7.94546,111.0537,230,121.5641918
-7.9448,111.05391,230,121.716239
-7.94413,111.05412,230,121.8650745
-7.94346,111.05433,199,122.0263051
-7.9428,111.05454,199,122.1634803
-7.94213,111.05475,199,122.2975579
-7.94146,111.05496,238,122.4167945
-7.9408,111.05517,238,122.5457673
-7.94013,111.05538,238,122.6718975
-7.93947,111.05559,238,122.7937063
-7.9388,111.0558,238,122.91281
-7.93813,111.056,238,123.0253361
-7.93747,111.05621,236,123.1367454
-7.9368,111.05642,236,123.2459442
-7.93614,111.05663,236,123.3514256
-7.93548,111.05684,236,123.453965
-7.93481,111.05705,236,123.5542661
-7.93415,111.05725,236,123.6485101
-7.93348,111.05746,236,123.7434679
-7.93282,111.05767,293,123.6733145
-7.93216,111.05788,293,123.5004239
-7.93149,111.05809,293,123.3216176
-7.93083,111.05829,293,123.141574
-7.93017,111.0585,365,123.0395398
-7.92951,111.05871,365,122.8633402
-7.92885,111.05891,433,122.7634474
-7.92818,111.05912,433,122.5854732
-7.92752,111.05932,433,122.40702
-7.92686,111.05953,433,122.2286549
-7.9262,111.05974,433,122.0485641
-7.92554,111.05994,433,121.8652697
-7.92488,111.06015,569,121.8942699
-7.92422,111.06036,569,121.7201787
-7.92356,111.06057,569,121.5446956
-7.9229,111.06077,569,121.3666702
-7.92225,111.06098,569,121.1918491
-7.92159,111.06119,569,121.0128377
-7.92093,111.0614,569,120.8328089
-7.92027,111.0616,633,120.7773451
-7.91961,111.06181,633,120.6002563
-7.91895,111.06202,633,120.4223938
-7.9183,111.06223,633,120.2467776
-7.91764,111.06244,633,120.0676216
-7.91698,111.06265,672,119.9763423
-7.91632,111.06286,513,119.3131907
-7.91567,111.06306,513,118.9332327
-7.91501,111.06327,513,118.5459495
-7.91435,111.06348,513,118.1569656
-7.91369,111.06369,513,117.7663814
-7.91304,111.0639,513,117.3801709
-7.91238,111.0641,358,116.5186682
-7.91172,111.06431,358,116.1136102
-7.91106,111.06452,358,115.7074342
-7.9104,111.06472,358,115.300907
-7.90975,111.06493,358,114.8988152
-7.90909,111.06513,358,114.4908193
-7.90843,111.06534,358,114.0812599
-7.90777,111.06554,281,113.3917354
-7.90711,111.06575,281,112.9762878
-7.90646,111.06596,281,112.5662694
-7.9058,111.06616,281,112.1515209
-7.90514,111.06637,281,111.7351047
-7.90448,111.06657,281,111.3202395
-7.90382,111.06678,238,110.7307288
-7.90316,111.06699,238,110.3246543
-7.9025,111.06719,238,109.9296523
-7.90185,111.0674,238,109.5483096
-7.90119,111.06761,238,109.1713283
-7.90053,111.06781,238,108.8053036
-7.89987,111.06802,224,108.4691254
-7.89921,111.06823,224,108.5432853
-7.89855,111.06844,224,108.6257901
-7.89789,111.06864,224,108.7174179
-7.89723,111.06885,224,108.8167279
-7.89657,111.06906,224,108.9245728
-7.89591,111.06927,224,109.0410141
-7.89525,111.06947,206,109.0803991
-7.89459,111.06968,206,109.2134488
-7.89393,111.06989,206,109.3552945
-7.89327,111.0701,206,109.5059908
-7.89261,111.07031,206,109.6655854
-7.89195,111.07052,206,109.8341389
-7.89129,111.07072,205,110.0066625
-7.89063,111.07093,207,96.3664794
-7.88997,111.07114,207,96.5621312
-7.88931,111.07135,207,96.7669193
-7.88865,111.07156,207,96.9808848
-7.88799,111.07177,207,97.204067
-7.88733,111.07197,217,97.4875023
-7.88667,111.07218,217,97.7293491
-7.886,111.07239,217,97.9841705
-7.88534,111.0726,217,98.2447722
-7.88468,111.07281,217,98.5147462
-7.88402,111.07301,217,98.7932168
-7.88336,111.07322,217,99.0819174
-7.8827,111.07343,212,99.888403
-7.88204,111.07364,212,100.7545434
-7.88138,111.07384,212,101.6303562
-7.88073,111.07405,212,102.5053076
-7.88007,111.07426,212,103.4042391
-7.87941,111.07447,212,104.3142046
-7.87875,111.07467,215,105.2492807
-7.87809,111.07488,215,106.18124
-7.87743,111.07509,223,107.166446
-7.87677,111.07529,223,108.1183384
-7.87611,111.0755,223,109.0833327
-7.87545,111.07571,223,110.0593829
-7.8748,111.07591,231,111.0716214
-7.87414,111.07612,231,112.0694539
-7.87348,111.07633,231,113.0783152
